Id_accidentalidad;seq_fecha;franja_horaria;r-franja;seq_tipo_accidente;seq_afectación;seq_tipo_servicio;seq_empresa_operadora;concesion;linea;ruta;coordenada_X;coordenada_Y;desp_suceso;num_lesionados _valorados;num_lesionados _trasladados;num_víctimas_fatales;gravedad_afectados;conciliación;placa;inmovilizado;sentido
202209;2;18 - 19;16:00 - 19:59;9;3;3;5;1;[59] 99;[3272] 99  V.4;596544;513647;Tabla 12 / Viaje 7 Operador reporta que la motociclista de placas NRR70E lo colisiona por la parte trasera/ no se presentan heridos/ se envia asistencia al puntoNA / Reportado por el TCZ de ETIB - Bernal Luis/ Reportado al TS del Ente Gestor - Jhon Siza;0;0;0;5;Sí;VDX601;No;Sur-Norte
202221;2;18 - 19;16:00 - 19:59;2;3;3;5;1;[263] E72;[3050] E72 V4;600336;511353;"02/nov /2018/ 18:52) / ACCIDENTALIDAD - SIMPLE/ Ruta E72/ Tabla 4 / Viaje 4/ Móvil Z70-4577/ Operador 70399 / el operador informa que un vehiculo de valores sale a la av américas sin precaución y golpea al zonal en la parte trasera costado derecho, se envía asistencia al punto/ Dirección américas con carrera 40/ Parada 029b07/ Sentido Occidente-Oriente/ Placas Gpb 395/ Reportado por el TCZ de ETIB - Lara Luis/ Reportado al TS del Ente Gestor - Jorge Enrique Gutiérrez Rosero
""";0;0;0;5;No;VFE226;No;Occi-Orien
202229;2;19 - 20;16:00 - 19:59;2;3;3;5;1;[293] 544_A;[3281] 544 V.4;595126;512598;"Tabla 9 / Viaje 5/  Operador informa que colisiona a una camioneta por la parte trasera, no hay lesionados se envia asistencia Conclusion: Se realiza informe de transito en contra del operador, causal 121, Movil se dirige a patio / Reportado por el TCZ de ETIB -Veronica Lizarazo/ Reportado al TS del Ente Gestor - John Siza """;0;0;0;5;No;VEW144;No;NO APLICA
202238;2;20 - 21;20:00 - 23:59;2;3;3;5;1;[737] R634;[3414] IDA V.5;602622;518155;Tabla 33 / Viaje 9 Operador reporta un choque simple con un particular, se envia asistencia al punto/ conclusion: el tercero se retira del punto sin dejar datos,zonal continua recorrido / Reportado por el TCZ de ETIB - Veronica Lizarazo/ Reportado al TS del Ente Gestor - Johm Siza ;0;0;0;5;No;WCM292;No;Sur-Norte
202248;2;21 - 22;20:00 - 23:59;2;3;3;5;1;[665] T24;[2509] T24 IDA V.3;598378;498507;Tabla 17 / Viaje 8 operador informa que camión que se encuentra mal parqueado/ gira y colisiona por la parte izquierda del zonal/ no hay lesionados/ se envía recomoto al punto/ Tercero se retira del punto sin suministrar datos/ zonal se desplaza a patio san Bernardino / Reportado por el TCZ de ETIB - Diana Arias/ Reportado al TS del Ente Gestor - ;0;0;0;5;No;WEW109;No;Occi-Orien
202246;2;21 - 22;20:00 - 23:59;2;3;3;5;1;[58] 91;[2722] 91 PORTAL V.5;603187;515795;Tabla 23 / Viaje 3 El operador reorta que un movil particular alcanza a colisionar el zonal y se da a la fuga sin que el operador alcanzara a tomar las placas, al revisar el zonal el operador reporta que no tiene daños, el zonal continua su recorrido/ Reportado por el TCZ de ETIB - Bernal Luis/ Reportado al TS del Ente Gestor - Jhon Siza;0;0;0;5;No;WDG916;No;Orien-Occi
202262;3;5 - 6;04:00 - 07:59;9;3;3;5;1;[675] 94;[2758] IDA V.2;600364;524957;Tabla 1 / Viaje 1 /operador informa estoy esperando cambio de semáforo y un motociclista me colisiona en parte trasera /solo se presenta daños materiales /se concilia con tercero móvil se desplaza para patio san José/ Reportado por el TCZ de ETIB - Indira Gómez/ Reportado al TS del Ente Gestor - Elkin Martínez;0;0;0;5;Sí;WMN120;No;NO APLICA
202269;3;7 - 8;04:00 - 07:59;2;3;3;5;1;[59] 99;[3272] 99  V.4;590808;509421;Tabla 16 / Viaje 1/ presento accidente de tránsito simple sin heridos donde Operador Informa que al entrar al romboy particular pasa del tercer al primer carril cerrando y colisiona con el zonal //se concilia por 200 000 mil pesos a favor del tercero zonal se dirige para el patio // Reportado por el TCZ de ETIB - Camilo Manrique/ Reportado al TS del Ente Gestor - Elkin Martínez;0;0;0;5;Sí;VEG984;No;Occi-Orien
202270;3;7 - 8;04:00 - 07:59;3;3;3;5;1;[675] 94;[2758] IDA V.2;591492;510045;Tabla 10 / Viaje 3/ Operador reporta que que colisiona un taxi por el costado derecho trasero, no hay heridos, el operador manifiesta dar dinero para comprar crema rubi y continua en recorrido, no toma placas/ Reportado por el TCZ de ETIB - Jonatan Lozano/ Reportado al TS del Ente Gestor - Elkin Martinez;0;0;0;5;No;WLT625;No;Occi-Orien
202275;3;9 - 10;08:00 - 11:59;2;3;3;5;1;[401] 132;[2460] 132 V.3;593991;513352;Tabla 18/viaje 1/se reporta accidente de tránsito con vehículo particular tipo camión/según reporte inicial de operador/ tercero choca parte lateral de zonal/ causando daños materiales/ no hay lesionados/tercero se da a la fuga/ operador manifiesta poder continuar con recorrido/Reportado por el TCZ de ETIB/Sanabria Sierra Benjamin/Reportado al TS del Ente Gestor/ Elkin Martinez;0;0;0;5;No;WGH814;No;Sur-Norte
202281;3;10 - 11;08:00 - 11:59;2;3;3;5;1;[712] C105;[2859] C105 V.3;595222;509700;Tabla 2 / Viaje 3 el opeardro infroma que un particular lo choca por el costado derecho placas del tercero RZR949 /no hay lesionados /se concilia a favor de etib / zonal para el patio/  Reportado por el TCZ de ETIB - Bohorquez Murcia Yesid Giovanni/ Reportado al TS del Ente Gestor - Fernando Forero;0;0;0;5;Sí;WGL230;No;Sur-Norte
202286;3;10 - 11;08:00 - 11:59;2;3;3;5;1;[204] C52;[3047] C52 V8;603571;512255;Tabla 5 / Viaje 2 / Operador informa que una camioneta abre la puerta y al pasar con el bus causa una colision leve, no se presentan lesionados / Se concilia con el tercero y se envia movil para el patio/ Reportado por el TCZ de ETIB - Fabian Fandiño/ Reportado al TS del Ente Gestor - Fernando Forero;0;0;0;5;Sí;WGL212;No;Norte-Sur
202291;3;11 - 12;08:00 - 11:59;3;3;3;5;1;[184] 782;[3408] VUELTA V.5;601020;516502;Tabla 22 / Viaje 2/ presento accidente de tránsito simple sin heridos donde Operador Informa que taxi entra al carril en el que el va y se estaca , al estacar zonal colisiona el taxi //tercero se da a la fuga operador continua con el recorrido// Reportado por el TCZ de ETIB - Camilo Manrique/ Reportado al TS del Ente Gestor - alfonso jimenez;0;0;0;5;No;WDE734;No;Norte-Sur
202294;3;11 - 12;08:00 - 11:59;3;3;3;5;1;[59] 99;[3272] 99  V.4;601804;509983;Tabla 13 / Viaje 3/ operador informa  que taxista  deja rodar  el carro y colisiona con el zonal, reporta que el señor se retira del punto tomando fotos al zonal operador continua con el recorrido / Reportado por el TCZ de ETIB - Camilo Manrique/ Reportado al TS del Ente Gestor - Edwin Garzón;0;0;0;5;No;VEG992;No;Norte-Sur
202313;3;15 - 16;12:00 - 15:59;2;3;3;5;1;[737] R634;[3414] IDA V.5;608000;525796;Tabla 7 / Viaje 7/ Operador informa que un particular, lo colisiona  por la parte trasera del zonal,  se le envía asistencia al punto / Se concilia a Favor del Zonal,  Zonal continua  con el recorrido habitual/ Reportado Por El Tcz De Etib - Pacheco Carlos Fernando/ Reportado Al Ts Del Ente Gestor - Edwin Garzon;0;0;0;5;Sí;WEV611;No;Norte-Sur
202323;3;16 - 17;16:00 - 19:59;2;3;3;5;1;[204] C52;[3047] C52 V8;597205;513199;Tabla 13 / Viaje 3 operador afirma que el tercero no se mide y colisiona contra el móvil operador afirma que no hay lesionados en el punto/ se envía representante por parte de la empresa/ después de conciliado el caso el móvil se desplaza para el patio / Reportado por el TCZ de ETIB - Fabian Andres Sarmiento/ Reportado al TS del Ente Gestor - Edwin Garzon ;0;0;0;5;No;WGL210;No;NO APLICA
202340;3;18 - 19;16:00 - 19:59;2;3;3;5;1;[265] C135;[3283] C135 V.4;592858;512354;Tabla 13 / Viaje 5 el operador reporta que una tractomula invade carril y con el espejo de el,rompe un vidrio lateral del zonaen curso  / Reportado por el TCZ de ETIB - Rodríguez Gina/ Reportado al TS del Ente Gestor - Jimmy Rodriguez;0;0;0;5;No;WDE742;No;NO APLICA
202344;3;18 - 19;16:00 - 19:59;3;3;3;5;1;[594] 599;[3257] VUELTA V.5;598542;524314;"Tabla 5 / Viaje 6/ Novedad: Operador reporta que un TAXI lo detiene con la excusa de que el zonal lo había colisionado metros atrás/ el Taxista adelanta el zonal y da reversa colisionando al zonal / operador asegura que nunca tuvo novedad con el taxi igualmente los usuarios apoyan la versión/ se solicita asistencia de policía al punto/ se codifica al operador con 121/ el IPAT queda pendiente por falta de papelería por parte del policía de transito / Reportado por el TCZ de ETIB - Bernal Luis/ Reportado al TS del Ente Gestor - Jimmy Rodriguez""";0;0;0;5;No;WML715;No;Sur-Norte
202351;3;19 - 20;16:00 - 19:59;13;3;3;5;1;[837] RP3;[3513] P3 V.3;597327;508871;Tabla 14 / Viaje 4 operador informa que colisiona con particular que lo cierra por la parte delantera del zonal/y hace generar choque multiple con otro particular/ no hay lesionados/ se envia recomoto/   Se concilia con vehiculo 1 a favor del tercero / al vehiculo 2 se genera IPAT con codificacion para tercero y zonal  157( no hay posición final ) Reportado por el TCZ de ETIB - Diana Arias/ Reportado al TS del Ente Gestor - Jimmy Rodriguez;0;0;0;5;Sí;WDG919;No;Occi-Orien
202364;3;21 - 22;20:00 - 23:59;2;3;3;5;1;[534] C_115;[3147] C_115 V.3;593174;510373;"
Tabla 10 / Viaje 5/ el operador reporta que un vehículo particular lo adelanta por el costado derecho sin tomar medidas de precaución/ como consecuencia de la maniobra se genera un choque simple/ en el cual no se presenta persona lesionada, ni tampoco persona fallecida/ se presenta daños al móvil y al tercero/ al punto  hace presencia policía de tránsito que es la entidad encargada de atender el evento/ a las 09:00/ el móvil se dirige para el patio de la empresa/ debido a que se realiza informe de tránsito (Colocando la causal 121 que significa no conservar distancia para el operador) Reportado por el TCZ de ETIB - Sánchez Torres Wilson Armando/ Reportado al TS del Ente Gestor – Jimmy Rodríguez
";0;0;0;5;No;VEK298;No;Occi-Orien
202368;3;22 - 23;20:00 - 23:59;2;3;3;5;1;[712] C105;[2859] C105 V.3;599530;511509;Tabla 3 / Viaje 7 el operador reporta que un vehiculo particular, frena bastante fuerte , trata de esquivarlo pero no lo logra  y lo termina impactando en la parte trasera NA / Reportado por el TCZ de ETIB - Sanchez Torres Wilson Armando/ Reportado al TS del Ente Gestor - Jimmy Rodriguez;0;0;0;5;No;WGL232;No;Orien-Occi
202062;1;15 - 16;12:00 - 15:59;1;1;3;10;10;[591] 13-5;[3327] 13-5_13082018_V4_Ida;598261;502213;tabla: 3, viaje: 15/ presento la siguiente novedad: operador reporta que golpea con el espejo a un usuario se presenta un lesionado, Al punto hace prsencia inspector vial Tranzit, policia de transito y ambulancia, la usuaria es trasladada a centro asistencial, se genera infome de transito y el movil es trasladado a patio Cerros  reportado al tecnico de supervisión de transmilenio s a  jaime velazco  reportado por técnico de control: wilson giovanny zuluaga olaya tranzit s a s observaciones adicionales: Causal 404 para tercero por transitar en la calzada;0;1;0;1;No;VES431;No;NO APLICA
202063;1;16 - 17;16:00 - 19:59;9;2;3;5;1;[401] 132;[2460] 132 V.3;588631;512165;Tabla 3 / Viaje 4 / operador reporta  que cuando Hace el giro  ,  una motociclista colisiona el zonal por el costado izquierdo, la tercera se pone de  pie y esta conciente,   el operador indica que la tercera esta  molesta y  agrediendo verbalmente al operador , no  manifiesta dolor, zonal se envía en vacio al patio / Reportado por el TCZ de ETIB - Diego Molano/ Reportado al TS del Ente Gestor - Gabriel Rodriguez;1;0;0;3;Sí;WGL243;No;Sur-Norte
202384;4;11 - 12;08:00 - 11:59;2;3;3;5;1;[401] 132;[2460] 132 V.3;598087;515528;Tabla 6 / Viaje 2 operador informa que particular lo cierra generando choque  con la parte delantera del zonal/ no hay lesionados , se envia recomoto al punto / se concilia a favor de Etib / zonal se desplaza a patio san bernardino/ Reportado por el TCZ de ETIB - Diana Arias/ Reportado al TS del Ente Gestor - Jorge García;0;0;0;5;Sí;WEW118;No;Orien-Occi
202392;4;12 - 13;12:00 - 15:59;6;3;3;5;1;[31] C15;[3292] C15 V.5 FEST;599757;508357;Tabla 3/viaje 5/se reporta accidente de tránsito con vehículo zonal de EEMB/ Según reporte inicial de operador/al dar giro/ con parte trasera choca tercero/ causando daños materiales/ no hay lesionados/ Operador de Etib/ asume responsabilidad/se concilia por medio de cuenta de cobro a favor de tercero/ zonal se dirige por sus propios medios para Patio San José 2/Reportado por el TCZ de ETIB/Sanabria Sierra Benjamín/ Reportado al TS del Ente Gestor/ Jorge García;0;0;0;5;Sí;WCL617;No;Occi-Orien
202411;4;17 - 18;16:00 - 19:59;2;3;3;5;1;[675] 94;[2758] IDA V.2;600198;524646;Tabla 21 / Viaje 2/ presento accidente de transito simple sin heridos donde Operador Informa que particular lo adelanta cerrando para realizar un giro y colisiona al zonal no se presentan heridos// se concilia por 10 000 a favor de etib zonal se dirige para el patio // Reportado por el TCZ de ETIB - Camilo Manrique/ Reportado al TS del Ente Gestor - Jorge García;0;0;0;5;Sí;WMN357;No;Sur-Norte
202412;4;17 - 18;16:00 - 19:59;2;3;3;5;1;[249] 552;[1563] 552 V4;592957;507896;Tabla 5 / Viaje 5 operador afirma que el tercero se cierra colicinando contra el movil no se presentan lesionados y se envi asiStencia para el punto/ el tercero le da dinero al operador y se retira del punto/ movil continua con el recorrido sin afectar el kilometraje  / Reportado por el TCZ de ETIB - Fabian Andres  Sarmiento/ Reportado al TS del Ente Gestor - Jose Manuel Duque ;0;0;0;5;Sí;WML477;No;Occi-Orien
202072;1;18 - 19;16:00 - 19:59;1;1;3;5;1;[265] C135;[3283] C135 V.4;589897;510373;Tabla 10 / Viaje 5/ Operador  informa que  dos usuarios pasan la avenida ciudad  de Cali/  y se  chocan  con el zonal por la parte trasera del zonal/ operador  no se da cuenta y los usuarios fueron los que le avisaron del hecho/ al darse  cuenta  los dos peatones se encuentran consientes y no presenta heridas abiertas se le envía la respectivas asistencias al punto, Conclusion Causal : 409 para los peatones con artículo 59  , Reportado Por El Tcz De Etib - Pacheco Carlos Fernando/ Reportado Al Ts Del Ente Gestor - Andrés Muñoz ;0;2;0;1;No;WDG913;Sí;Norte-Sur
202074;1;18 - 19;16:00 - 19:59;10;1;3;8;7;[651] E60;[2259] E60_IDA_PIR_CIPRÉS_V2;603110;520971;Tabla: 15/ Viaje: 5/Operador reporta que realizando recorrido una moto que lo adelante cerrando ocasiona que el operador frene para evitar colisionarlo, realizar la maniobra una usuaria de la tercera edad que no utiliza los elementos de seguridad dentro del móvil  cae dentro del mismo, la usuaria presenta herida abierta en la cabeza sin pérdida de conocimiento/Conclusion:se realiza informe de transito con causal 119(Frenas bruscamnete) para el operaor, el movil es desplazado para patios/  Reportado a: Freddy Cardona Tecnico supervisor TM S A;0;2;0;1;No;WCL513;Sí;Sur-Norte
202444;5;9 - 10;08:00 - 11:59;3;3;3;5;1;[737] R634;[3414] IDA V.5;589847;508881;Tabla 11 / Viaje 5/ Operador reporta que un taxi lo coliosna, se le envía recomoto por parte de la operadora Etib / Se concilia a Favor del Tercero,Zonal se dirige  por sus propios medios a Patio,  Reportado Por El Tcz De Etib - Pacheco Carlos Fernando/ Reportado Al Ts Del Ente Gestor - Gloria Chartano ;0;0;0;5;Sí;WEV616;No;Sur-Norte
202445;5;10 - 11;08:00 - 11:59;3;3;3;5;1;[594] 599;[1605] VUELTA V.2;589859;508817;Tabla 13 / Viaje 3/  Operador reporta que un taxi, taxista colisiona  por  la parte  trasera al zonal, se le envía recomoto por parte de la operadora Etib / Se concilia a Favor  de Zonal de Etib, Zonal  se dirige  por sus propios medios a patio,  Reportado Por El Tcz De Etib - Pacheco Carlos Fernando/ Reportado Al Ts Del Ente Gestor - Gloria Chartano;0;0;0;5;Sí;WML712;No;Norte-Sur
202454;5;13 - 14;12:00 - 15:59;2;3;3;5;1;[667] C701;[3508] C701_ VUELTA V.2;597018;507474;Tabla 1 / Viaje 6 operador informa que colisiona con camioneta / por la parte delantera del zonal por que tercero lo cierray se da a la fuga/ no hay lesionados/ zonal continua recorridotercero se da a la fuga/ zonal continua recorrido / Reportado por el TCZ de ETIB - Diana Arias/ Reportado al TS del Ente Gestor - Jorge García;0;0;0;5;No;WGL229;No;Orien-Occi
202456;5;14 - 15;12:00 - 15:59;2;3;3;5;1;[262] 56A;[3055] 56A V.3;598143;510176;Tabla 7 / Viaje 3/ el operador reporta que  un particular esta mal estacionado y cuando pasa el zonal colisionan/ no se presenta lesionados/ ninguno asume la responsabilidad /el tercero se da a la fuga / zonal al terminar la novedad se desplaza para patio de sevillana 2/ Reportado por el TCZ de ETIB - Sanchez Albarracin Luisa Fernanda/ Reportado al TS del Ente Gestor - Jorge García;0;0;0;5;No;VFE187;No;Norte-Sur
202460;5;15 - 16;12:00 - 15:59;2;3;3;5;1;[293] 544_A;[3281] 544 V.4;588842;509705;Tabla 6 / Viaje 7/ presento accidente de transito simple din heridos Operador Informa que al realizar giro colisiona a un particular  se envía asistencia al punto // tercero se da a la fuga tomando fotos y realizando videos operador se dirige para el patio// Reportado por el TCZ de ETIB - Camilo Manrique/ Reportado al TS del Ente Gestor - Jorge García;0;0;0;5;No;WCM275;No;Sur-Norte
202480;5;21 - 22;20:00 - 23:59;2;3;3;5;1;[398] 607;[3010] IDA V.3;589996;510484;Tabla 10 / Viaje retirada a patios/ Operador reporta que un particular frena bruscamente y el operador lo colisiona levemente en la parte trasera, no hay lesionados el tercero se retira del punto y el zonal se dirige para el patio// Reportado por el TCZ de ETIB - Juan David Tellez Mendez/ Reportado al TS del Ente Gestor - Crisanto Ortiz;0;0;0;5;No;WEW168;No;Norte-Sur
202083;1;19 - 20;16:00 - 19:59;11;2;3;3;2;[775] 105 EEMB;[3416] 105 CONF VIA ALAMOS ;596381;519541;Operador, quien realiza la Ruta con la Tabla 24 en el viaje 5, informa que ciclista, en aparente estado de embriaguez, golpea el zonal en la parte trasera  El ciclista no presenta herida abierta  Se solictan asistencias al punto  Minutos despues, ciclista se retira del punto sin suministrar datos  Movil continua recorrido  Reporta Técnico de Control Zonal Andrés Felipe Martínez Moreno de Este Es Mi Bus SAS a Técnico Supervisor de TransMilenio SA Rodrigo Gomez Paez;0;0;0;2;No;WPO028;No;Orien-Occi
202497;6;6 - 7;04:00 - 07:59;9;3;3;5;1;[500] 120;[3254] 120 V.5;592948;510191;Tabla 12 / Viaje 1 operador informa que colisiona contra una moto se presentan lesionados tercero se da a la fuga/ zonal continua la ruta  / Reportado por el TCZ de ETIB - Paola Mayus/ Reportado al TS del Ente Gestor - Alfonso Jimenez ;0;0;0;5;No;WEV588;No;Sur-Norte
